Year,County,Hospital,OSHPDID,system,Type of Report,Performance Measure,# of Adverse Events,# of Cases,Risk-adjusted Rate,Hospital Ratings,Latitude,Longitude
2017,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,Acute Stroke Ischemic,1,115,1.1,As Expected,37.85645,-122.257
2017,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,Pancreatic Resection,,,,,37.85645,-122.257
2017,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,Heart Failure,12,306,3.3,As Expected,37.85645,-122.257
2017,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,Acute Stroke Hemorrhagic,13,95,16.2,As Expected,37.85645,-122.257
2017,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,Carotid Endarterectomy,,,,,37.85645,-122.257
2017,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,Acute Stroke Subarachnoid,0,3,0,As Expected,37.85645,-122.257
2017,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,Pneumonia,5,82,4.6,As Expected,37.85645,-122.257
2017,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,Hip Fracture,2,89,2.7,As Expected,37.85645,-122.257
2017,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,Carotid Endarterectomy,0,4,0,As Expected,37.79925,-122.231
2017,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,Acute Stroke Hemorrhagic,9,40,21.5,As Expected,37.79925,-122.231
2017,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,GI Hemorrhage,5,148,3.2,As Expected,37.79925,-122.231
2017,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,AMI,13,154,9.5,As Expected,37.79925,-122.231
2017,Alameda,Highland Hospital,106010846,Alameda Health System,Elective PCI,Elective PCI Emergency CABG,0,0,0,As Expected,37.79925,-122.23138
2017,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,Pancreatic Resection,0,6,0,As Expected,37.79925,-122.231
2017,Alameda,Highland Hospital,106010846,Alameda Health System,Elective PCI,Elective PCI Mortality,0,0,0,As Expected,37.79925,-122.23138
2017,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,Acute Stroke Ischemic,2,75,4.9,As Expected,37.79925,-122.231
2017,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,Pneumonia,1,99,2.1,As Expected,37.79925,-122.231
2017,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,Heart Failure,4,379,1.5,As Expected,37.79925,-122.231
2017,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,Acute Stroke,13,118,10,As Expected,37.79925,-122.231
2017,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,PCI,4,138,2.8,As Expected,37.79925,-122.231
2017,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,Hip Fracture,0,45,0,As Expected,37.79925,-122.231
2017,Alameda,Highland Hospital,106010846,Alameda Health System,Elective PCI,Elective PCI Stroke,0,0,0,As Expected,37.79925,-122.23138
2017,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,Acute Stroke Subarachnoid,2,3,54.3,As Expected,37.79925,-122.231
2017,Alameda,Alta Bates Summit Medical Center,106010937,Sutter Health,IMI,Acute Stroke Ischemic,4,309,1.1,Better,37.82106,-122.262
2017,Alameda,Alta Bates Summit Medical Center,106010937,Sutter Health,IMI,Hip Fracture,2,95,1.8,As Expected,37.82106,-122.262
2017,Alameda,Alta Bates Summit Medical Center,106010937,Sutter Health,IMI,Pancreatic Resection,0,8,0,As Expected,37.82106,-122.262
2017,Alameda,Alta Bates Summit Medical Center,106010937,Sutter Health,IMI,PCI,9,349,3.3,As Expected,37.82106,-122.262
2017,Alameda,Alta Bates Summit Medical Center,106010937,Sutter Health,CABG,Isolated CABG Operative Mor,2,144,1.65,As Expected,37.82,-122.26
2017,Alameda,Alta Bates Summit Medical Center,106010937,Sutter Health,IMI,Pneumonia,4,109,2.8,As Expected,37.82106,-122.262
2017,Alameda,Alta Bates Summit Medical Center,106010937,Sutter Health,IMI,Heart Failure,27,675,2.9,As Expected,37.82106,-122.262
2017,Alameda,Alta Bates Summit Medical Center,106010937,Sutter Health,IMI,GI Hemorrhage,9,341,2.6,As Expected,37.82106,-122.262
2017,Alameda,Alta Bates Summit Medical Center,106010937,Sutter Health,IMI,Acute Stroke Hemorrhagic,4,15,21.4,As Expected,37.82106,-122.262
2017,Alameda,Alta Bates Summit Medical Center,106010937,Sutter Health,IMI,Acute Stroke Subarachnoid,,,,,37.82106,-122.262
2017,Alameda,Alta Bates Summit Medical Center,106010937,Sutter Health,IMI,AMI,25,451,5.7,As Expected,37.82106,-122.262
2017,Alameda,Alta Bates Summit Medical Center,106010937,Sutter Health,IMI,Carotid Endarterectomy,1,14,12.6,As Expected,37.82106,-122.262
2017,Alameda,Alta Bates Summit Medical Center,106010937,Sutter Health,IMI,Acute Stroke,8,325,3.3,Better,37.82106,-122.262
2017,Alameda,St. Rose Hospital,106010967,Independent/Other,IMI,Acute Stroke,3,67,5.9,As Expected,37.63291,-122.089
2017,Alameda,St. Rose Hospital,106010967,Independent/Other,IMI,PCI,8,173,7.4,As Expected,37.63291,-122.089
2017,Alameda,St. Rose Hospital,106010967,Independent/Other,IMI,Pancreatic Resection,,,,,37.63291,-122.089
2017,Alameda,St. Rose Hospital,106010967,Independent/Other,IMI,Acute Stroke Hemorrhagic,1,3,14.8,As Expected,37.63291,-122.089
2017,Alameda,St. Rose Hospital,106010967,Independent/Other,IMI,Pneumonia,4,147,3.2,As Expected,37.63291,-122.089
2017,Alameda,St. Rose Hospital,106010967,Independent/Other,IMI,Carotid Endarterectomy,,,,,37.63291,-122.089
2017,Alameda,St. Rose Hospital,106010967,Independent/Other,IMI,Hip Fracture,1,26,3.8,As Expected,37.63291,-122.089
2017,Alameda,St. Rose Hospital,106010967,Independent/Other,IMI,GI Hemorrhage,1,114,1.2,As Expected,37.63291,-122.089
2017,Alameda,St. Rose Hospital,106010967,Independent/Other,IMI,Acute Stroke Subarachnoid,,,,,37.63291,-122.089
2017,Alameda,St. Rose Hospital,106010967,Independent/Other,Elective PCI,Elective PCI Mortality,0,26,0,As Expected,37.63291,-122.08962
2017,Alameda,St. Rose Hospital,106010967,Independent/Other,IMI,Heart Failure,6,219,4,As Expected,37.63291,-122.089
2017,Alameda,St. Rose Hospital,106010967,Independent/Other,IMI,Acute Stroke Ischemic,1,62,2.1,As Expected,37.63291,-122.089
2017,Alameda,St. Rose Hospital,106010967,Independent/Other,Elective PCI,Elective PCI Stroke,0,26,0,As Expected,37.63291,-122.08962
2017,Alameda,St. Rose Hospital,106010967,Independent/Other,IMI,AMI,13,207,10.2,Worse,37.63291,-122.089
2017,Alameda,St. Rose Hospital,106010967,Independent/Other,Elective PCI,Elective PCI Emergency CABG,0,26,0,As Expected,37.63291,-122.08962
2017,Alameda,Washington Hospital – Fremont,106010987,Independent/Other,IMI,PCI,11,230,6.1,As Expected,37.55847,-121.98
2017,Alameda,Washington Hospital – Fremont,106010987,Independent/Other,IMI,Acute Stroke Hemorrhagic,20,65,33.5,Worse,37.55847,-121.98
2017,Alameda,Washington Hospital – Fremont,106010987,Independent/Other,IMI,Carotid Endarterectomy,0,17,0,As Expected,37.55847,-121.98
2017,Alameda,Washington Hospital – Fremont,106010987,Independent/Other,IMI,Acute Stroke Ischemic,18,235,9.8,Worse,37.55847,-121.98
2017,Alameda,Washington Hospital – Fremont,106010987,Independent/Other,IMI,Pneumonia,19,351,4.6,Worse,37.55847,-121.98
2017,Alameda,Washington Hospital – Fremont,106010987,Independent/Other,IMI,Acute Stroke,44,323,15.3,Worse,37.55847,-121.98
2017,Alameda,Washington Hospital – Fremont,106010987,Independent/Other,IMI,AMI,18,302,6.2,As Expected,37.55847,-121.98
2017,Alameda,Washington Hospital – Fremont,106010987,Independent/Other,CABG,Isolated CABG Operative Mor,1,94,1.22,As Expected,37.56,-121.98
2017,Alameda,Washington Hospital – Fremont,106010987,Independent/Other,IMI,GI Hemorrhage,13,305,5.1,Worse,37.55847,-121.98
2017,Alameda,Washington Hospital – Fremont,106010987,Independent/Other,IMI,Pancreatic Resection,,,,,37.55847,-121.98
2017,Alameda,Washington Hospital – Fremont,106010987,Independent/Other,IMI,Heart Failure,8,478,1.8,As Expected,37.55847,-121.98
2017,Alameda,Washington Hospital – Fremont,106010987,Independent/Other,IMI,Hip Fracture,5,93,4.8,As Expected,37.55847,-121.98
2017,Alameda,Washington Hospital – Fremont,106010987,Independent/Other,IMI,Acute Stroke Subarachnoid,6,23,33.4,As Expected,37.55847,-121.98
2017,Alameda,San Leandro Hospital,106013619,Alameda Health System,IMI,Acute Stroke Subarachnoid,,,,,37.71364,-122.14
2017,Alameda,San Leandro Hospital,106013619,Alameda Health System,IMI,Pneumonia,0,98,0,As Expected,37.71364,-122.14
2017,Alameda,San Leandro Hospital,106013619,Alameda Health System,IMI,Acute Stroke Ischemic,0,39,0,As Expected,37.71364,-122.14
2017,Alameda,San Leandro Hospital,106013619,Alameda Health System,IMI,Heart Failure,3,226,1.6,As Expected,37.71364,-122.14
2017,Alameda,San Leandro Hospital,106013619,Alameda Health System,IMI,PCI,,,,,37.71364,-122.14
2017,Alameda,San Leandro Hospital,106013619,Alameda Health System,IMI,Acute Stroke Hemorrhagic,,,,,37.71364,-122.14
2017,Alameda,San Leandro Hospital,106013619,Alameda Health System,IMI,GI Hemorrhage,1,73,1,As Expected,37.71364,-122.14
2017,Alameda,San Leandro Hospital,106013619,Alameda Health System,IMI,AMI,1,12,8,As Expected,37.71364,-122.14
2017,Alameda,San Leandro Hospital,106013619,Alameda Health System,IMI,Hip Fracture,0,25,0,As Expected,37.71364,-122.14
2017,Alameda,San Leandro Hospital,106013619,Alameda Health System,IMI,Carotid Endarterectomy,0,18,0,As Expected,37.71364,-122.14
2017,Alameda,San Leandro Hospital,106013619,Alameda Health System,IMI,Pancreatic Resection,,,,,37.71364,-122.14
2017,Alameda,San Leandro Hospital,106013619,Alameda Health System,IMI,Acute Stroke,0,40,0,As Expected,37.71364,-122.14
2017,Alameda,Stanford Health Care Tri-Valley,106014050,Independent/Other,IMI,Carotid Endarterectomy,0,10,0,As Expected,37.69206,-121.88
2017,Alameda,Stanford Health Care Tri-Valley,106014050,Independent/Other,IMI,Acute Stroke,3,63,11.5,As Expected,37.69206,-121.88
2017,Alameda,Stanford Health Care Tri-Valley,106014050,Independent/Other,IMI,Hip Fracture,0,87,0,As Expected,37.69206,-121.88
2017,Alameda,Stanford Health Care Tri-Valley,106014050,Independent/Other,IMI,AMI,15,160,9.1,As Expected,37.69206,-121.88
2017,Alameda,Stanford Health Care Tri-Valley,106014050,Independent/Other,IMI,Pneumonia,6,157,3.8,As Expected,37.69206,-121.88
2017,Alameda,Stanford Health Care Tri-Valley,106014050,Independent/Other,IMI,Heart Failure,6,285,1.7,As Expected,37.69206,-121.88
2017,Alameda,Stanford Health Care Tri-Valley,106014050,Independent/Other,IMI,Acute Stroke Ischemic,2,59,5.5,As Expected,37.69206,-121.88
2017,Alameda,Stanford Health Care Tri-Valley,106014050,Independent/Other,IMI,Acute Stroke Hemorrhagic,1,3,49.6,As Expected,37.69206,-121.88
2017,Alameda,Stanford Health Care Tri-Valley,106014050,Independent/Other,IMI,GI Hemorrhage,2,143,1.3,As Expected,37.69206,-121.88
2017,Alameda,Stanford Health Care Tri-Valley,106014050,Independent/Other,IMI,Pancreatic Resection,,,,,37.69206,-121.88
2017,Alameda,Stanford Health Care Tri-Valley,106014050,Independent/Other,IMI,Acute Stroke Subarachnoid,,,,,37.69206,-121.88
2017,Alameda,Stanford Health Care Tri-Valley,106014050,Independent/Other,CABG,Isolated CABG Operative Mor,0,34,0,As Expected,37.69,-121.88
2017,Alameda,Stanford Health Care Tri-Valley,106014050,Independent/Other,IMI,PCI,10,133,8.7,Worse,37.69206,-121.88
2017,Alameda,Kaiser Foundation Hospital – Fremont,106014132,Kaiser Foundation Hospitals,IMI,Heart Failure,5,140,2.1,As Expected,37.55055,-121.974
2017,Alameda,Kaiser Foundation Hospital – Fremont,106014132,Kaiser Foundation Hospitals,IMI,GI Hemorrhage,4,82,5.7,As Expected,37.55055,-121.974
2017,Alameda,Kaiser Foundation Hospital – Fremont,106014132,Kaiser Foundation Hospitals,IMI,Pancreatic Resection,,,,,37.55055,-121.974
2017,Alameda,Kaiser Foundation Hospital – Fremont,106014132,Kaiser Foundation Hospitals,IMI,PCI,1,33,2.9,As Expected,37.55055,-121.974
2017,Alameda,Kaiser Foundation Hospital – Fremont,106014132,Kaiser Foundation Hospitals,IMI,Pneumonia,3,76,2.8,As Expected,37.55055,-121.974
2017,Alameda,Kaiser Foundation Hospital – Fremont,106014132,Kaiser Foundation Hospitals,IMI,Acute Stroke Hemorrhagic,3,17,16.1,As Expected,37.55055,-121.974
2017,Alameda,Kaiser Foundation Hospital – Fremont,106014132,Kaiser Foundation Hospitals,IMI,AMI,4,68,4.8,As Expected,37.55055,-121.974
2017,Alameda,Kaiser Foundation Hospital – Fremont,106014132,Kaiser Foundation Hospitals,IMI,Acute Stroke Subarachnoid,2,6,17.7,As Expected,37.55055,-121.974
2017,Alameda,Kaiser Foundation Hospital – Fremont,106014132,Kaiser Foundation Hospitals,IMI,Acute Stroke Ischemic,6,84,5.2,As Expected,37.55055,-121.974
2017,Alameda,Kaiser Foundation Hospital – Fremont,106014132,Kaiser Foundation Hospitals,IMI,Carotid Endarterectomy,,,,,37.55055,-121.974
2017,Alameda,Kaiser Foundation Hospital – Fremont,106014132,Kaiser Foundation Hospitals,IMI,Acute Stroke,11,107,8.1,As Expected,37.55055,-121.974
2017,Alameda,Kaiser Foundation Hospital – Fremont,106014132,Kaiser Foundation Hospitals,IMI,Hip Fracture,1,68,1.5,As Expected,37.55055,-121.974
2017,Alameda,Eden Medical Center,106014233,Sutter Health,IMI,Heart Failure,9,267,2.8,As Expected,37.69837,-122.087
2017,Alameda,Eden Medical Center,106014233,Sutter Health,IMI,GI Hemorrhage,6,180,2.8,As Expected,37.69837,-122.087
2017,Alameda,Eden Medical Center,106014233,Sutter Health,IMI,AMI,5,40,7.3,As Expected,37.69837,-122.087
2017,Alameda,Eden Medical Center,106014233,Sutter Health,IMI,Carotid Endarterectomy,0,19,0,As Expected,37.69837,-122.087
2017,Alameda,Eden Medical Center,106014233,Sutter Health,IMI,Acute Stroke Ischemic,36,373,4.9,As Expected,37.69837,-122.087
2017,Alameda,Eden Medical Center,106014233,Sutter Health,IMI,Hip Fracture,5,126,2.6,As Expected,37.69837,-122.087
2017,Alameda,Eden Medical Center,106014233,Sutter Health,IMI,Acute Stroke Subarachnoid,20,78,21.2,As Expected,37.69837,-122.087
2017,Alameda,Eden Medical Center,106014233,Sutter Health,IMI,Pneumonia,3,105,1.8,As Expected,37.69837,-122.087
2017,Alameda,Eden Medical Center,106014233,Sutter Health,IMI,Pancreatic Resection,,,,,37.69837,-122.087
2017,Alameda,Eden Medical Center,106014233,Sutter Health,IMI,Acute Stroke,88,569,8.7,As Expected,37.69837,-122.087
2017,Alameda,Eden Medical Center,106014233,Sutter Health,IMI,PCI,,,,,37.69837,-122.087
2017,Alameda,Eden Medical Center,106014233,Sutter Health,IMI,Acute Stroke Hemorrhagic,32,118,20.4,As Expected,37.69837,-122.087
2017,Alameda,Kaiser Foundation Hospital – Oakland/Richmond,106014326,Kaiser Foundation Hospitals,IMI,Carotid Endarterectomy,0,10,0,As Expected,37.82402,-122.257
2017,Alameda,Kaiser Foundation Hospital – Oakland/Richmond,106014326,Kaiser Foundation Hospitals,IMI,Hip Fracture,2,173,1.8,As Expected,37.82402,-122.257
2017,Alameda,Kaiser Foundation Hospital – Oakland/Richmond,106014326,Kaiser Foundation Hospitals,IMI,GI Hemorrhage,7,356,2.2,As Expected,37.82402,-122.257
2017,Alameda,Kaiser Foundation Hospital – Oakland/Richmond,106014326,Kaiser Foundation Hospitals,IMI,AMI,19,236,6.5,As Expected,37.82402,-122.257
2017,Alameda,Kaiser Foundation Hospital – Oakland/Richmond,106014326,Kaiser Foundation Hospitals,IMI,Acute Stroke Hemorrhagic,25,98,25.7,As Expected,37.82402,-122.257
2017,Alameda,Kaiser Foundation Hospital – Oakland/Richmond,106014326,Kaiser Foundation Hospitals,IMI,Pneumonia,8,189,3,As Expected,37.82402,-122.257
2017,Alameda,Kaiser Foundation Hospital – Oakland/Richmond,106014326,Kaiser Foundation Hospitals,IMI,PCI,2,76,3.6,As Expected,37.82402,-122.257
2017,Alameda,Kaiser Foundation Hospital – Oakland/Richmond,106014326,Kaiser Foundation Hospitals,IMI,Pancreatic Resection,1,89,1.7,As Expected,37.82402,-122.257
2017,Alameda,Kaiser Foundation Hospital – Oakland/Richmond,106014326,Kaiser Foundation Hospitals,IMI,Acute Stroke,46,509,8.9,As Expected,37.82402,-122.257
2017,Alameda,Kaiser Foundation Hospital – Oakland/Richmond,106014326,Kaiser Foundation Hospitals,IMI,Acute Stroke Ischemic,19,403,4.1,As Expected,37.82402,-122.257
2017,Alameda,Kaiser Foundation Hospital – Oakland/Richmond,106014326,Kaiser Foundation Hospitals,IMI,Heart Failure,20,866,2,As Expected,37.82402,-122.257
2017,Alameda,Kaiser Foundation Hospital – Oakland/Richmond,106014326,Kaiser Foundation Hospitals,IMI,Acute Stroke Subarachnoid,2,8,13.8,As Expected,37.82402,-122.257
2017,Alameda,Kaiser Foundation Hospital – San Leandro,106014337,Kaiser Foundation Hospitals,IMI,PCI,,,,,37.70611,-122.169
2017,Alameda,Kaiser Foundation Hospital – San Leandro,106014337,Kaiser Foundation Hospitals,IMI,Acute Stroke Ischemic,12,170,5.6,As Expected,37.70611,-122.169
2017,Alameda,Kaiser Foundation Hospital – San Leandro,106014337,Kaiser Foundation Hospitals,IMI,Heart Failure,15,309,3.5,As Expected,37.70611,-122.169
2017,Alameda,Kaiser Foundation Hospital – San Leandro,106014337,Kaiser Foundation Hospitals,IMI,AMI,6,47,6.3,As Expected,37.70611,-122.169
2017,Alameda,Kaiser Foundation Hospital – San Leandro,106014337,Kaiser Foundation Hospitals,IMI,GI Hemorrhage,3,157,2,As Expected,37.70611,-122.169
2017,Alameda,Kaiser Foundation Hospital – San Leandro,106014337,Kaiser Foundation Hospitals,IMI,Carotid Endarterectomy,0,21,0,As Expected,37.70611,-122.169
2017,Alameda,Kaiser Foundation Hospital – San Leandro,106014337,Kaiser Foundation Hospitals,IMI,Acute Stroke,17,217,8.6,As Expected,37.70611,-122.169
2017,Alameda,Kaiser Foundation Hospital – San Leandro,106014337,Kaiser Foundation Hospitals,IMI,Pneumonia,4,129,1.9,As Expected,37.70611,-122.169
2017,Alameda,Kaiser Foundation Hospital – San Leandro,106014337,Kaiser Foundation Hospitals,IMI,Hip Fracture,1,116,1,As Expected,37.70611,-122.169
2017,Alameda,Kaiser Foundation Hospital – San Leandro,106014337,Kaiser Foundation Hospitals,IMI,Pancreatic Resection,,,,,37.70611,-122.169
2017,Alameda,Kaiser Foundation Hospital – San Leandro,106014337,Kaiser Foundation Hospitals,IMI,Acute Stroke Hemorrhagic,5,44,16.8,As Expected,37.70611,-122.169
2017,Alameda,Kaiser Foundation Hospital – San Leandro,106014337,Kaiser Foundation Hospitals,IMI,Acute Stroke Subarachnoid,0,3,0,As Expected,37.70611,-122.169
2017,Amador,Sutter Amador Hospital,106034002,Sutter Health,IMI,GI Hemorrhage,0,60,0,As Expected,38.34743,-120.772
2017,Amador,Sutter Amador Hospital,106034002,Sutter Health,IMI,Heart Failure,3,109,3,As Expected,38.34743,-120.772
2017,Amador,Sutter Amador Hospital,106034002,Sutter Health,IMI,Hip Fracture,1,48,1.6,As Expected,38.34743,-120.772
2017,Amador,Sutter Amador Hospital,106034002,Sutter Health,IMI,AMI,2,6,7.6,As Expected,38.34743,-120.772
2017,Amador,Sutter Amador Hospital,106034002,Sutter Health,IMI,Pancreatic Resection,,,,,38.34743,-120.772
2017,Amador,Sutter Amador Hospital,106034002,Sutter Health,IMI,Carotid Endarterectomy,,,,,38.34743,-120.772
2017,Amador,Sutter Amador Hospital,106034002,Sutter Health,IMI,Acute Stroke,4,73,5.9,As Expected,38.34743,-120.772
2017,Amador,Sutter Amador Hospital,106034002,Sutter Health,IMI,PCI,,,,,38.34743,-120.772
2017,Amador,Sutter Amador Hospital,106034002,Sutter Health,IMI,Acute Stroke Hemorrhagic,2,8,23.1,As Expected,38.34743,-120.772
2017,Amador,Sutter Amador Hospital,106034002,Sutter Health,IMI,Acute Stroke Subarachnoid,,,,,38.34743,-120.772
2017,Amador,Sutter Amador Hospital,106034002,Sutter Health,IMI,Pneumonia,2,55,3.7,As Expected,38.34743,-120.772
2017,Amador,Sutter Amador Hospital,106034002,Sutter Health,IMI,Acute Stroke Ischemic,2,64,2.4,As Expected,38.34743,-120.772
2017,Butte,Orchard Hospital,106040802,Independent/Other,IMI,Acute Stroke Ischemic,,,,,39.36701,-121.689
2017,Butte,Orchard Hospital,106040802,Independent/Other,IMI,Acute Stroke Subarachnoid,,,,,39.36701,-121.689
2017,Butte,Orchard Hospital,106040802,Independent/Other,IMI,Hip Fracture,,,,,39.36701,-121.689
2017,Butte,Orchard Hospital,106040802,Independent/Other,IMI,Heart Failure,0,17,0,As Expected,39.36701,-121.689
2017,Butte,Orchard Hospital,106040802,Independent/Other,IMI,PCI,,,,,39.36701,-121.689
2017,Butte,Orchard Hospital,106040802,Independent/Other,IMI,GI Hemorrhage,0,3,0,As Expected,39.36701,-121.689
2017,Butte,Orchard Hospital,106040802,Independent/Other,IMI,Pneumonia,0,21,0,As Expected,39.36701,-121.689
2017,Butte,Orchard Hospital,106040802,Independent/Other,IMI,Carotid Endarterectomy,,,,,39.36701,-121.689
2017,Butte,Orchard Hospital,106040802,Independent/Other,IMI,Acute Stroke Hemorrhagic,,,,,39.36701,-121.689
2017,Butte,Orchard Hospital,106040802,Independent/Other,IMI,Pancreatic Resection,,,,,39.36701,-121.689
2017,Butte,Orchard Hospital,106040802,Independent/Other,IMI,AMI,,,,,39.36701,-121.689
2017,Butte,Orchard Hospital,106040802,Independent/Other,IMI,Acute Stroke,,,,,39.36701,-121.689
2017,Butte,ADVENTIST HEALTH FEATHER RIVER,106040875,Adventist Health Systems,IMI,GI Hemorrhage,6,116,4.5,As Expected,39.75743,-121.572
2017,Butte,ADVENTIST HEALTH FEATHER RIVER,106040875,Adventist Health Systems,IMI,Carotid Endarterectomy,0,12,0,As Expected,39.75743,-121.572
2017,Butte,ADVENTIST HEALTH FEATHER RIVER,106040875,Adventist Health Systems,IMI,Pancreatic Resection,,,,,39.75743,-121.572
2017,Butte,ADVENTIST HEALTH FEATHER RIVER,106040875,Adventist Health Systems,IMI,Acute Stroke Hemorrhagic,2,4,29.4,As Expected,39.75743,-121.572
2017,Butte,ADVENTIST HEALTH FEATHER RIVER,106040875,Adventist Health Systems,IMI,Acute Stroke Subarachnoid,,,,,39.75743,-121.572
2017,Butte,ADVENTIST HEALTH FEATHER RIVER,106040875,Adventist Health Systems,IMI,PCI,,,,,39.75743,-121.572
2017,Butte,ADVENTIST HEALTH FEATHER RIVER,106040875,Adventist Health Systems,IMI,Acute Stroke Ischemic,2,90,2.3,As Expected,39.75743,-121.572
2017,Butte,ADVENTIST HEALTH FEATHER RIVER,106040875,Adventist Health Systems,IMI,Heart Failure,5,180,1.7,As Expected,39.75743,-121.572
2017,Butte,ADVENTIST HEALTH FEATHER RIVER,106040875,Adventist Health Systems,IMI,AMI,5,32,7,As Expected,39.75743,-121.572
2017,Butte,ADVENTIST HEALTH FEATHER RIVER,106040875,Adventist Health Systems,IMI,Hip Fracture,0,68,0,As Expected,39.75743,-121.572
2017,Butte,ADVENTIST HEALTH FEATHER RIVER,106040875,Adventist Health Systems,IMI,Acute Stroke,4,94,6.3,As Expected,39.75743,-121.572
2017,Butte,ADVENTIST HEALTH FEATHER RIVER,106040875,Adventist Health Systems,IMI,Pneumonia,2,159,0.9,As Expected,39.75743,-121.572
2017,Butte,Oroville Hospital,106040937,Independent/Other,IMI,Pancreatic Resection,,,,,39.50485,-121.542
2017,Butte,Oroville Hospital,106040937,Independent/Other,IMI,Acute Stroke Ischemic,4,165,2,Better,39.50485,-121.542
2017,Butte,Oroville Hospital,106040937,Independent/Other,IMI,Pneumonia,0,11,0,As Expected,39.50485,-121.542
2017,Butte,Oroville Hospital,106040937,Independent/Other,IMI,PCI,,,,,39.50485,-121.542
2017,Butte,Oroville Hospital,106040937,Independent/Other,IMI,Acute Stroke Hemorrhagic,3,6,25.2,As Expected,39.50485,-121.542
2017,Butte,Oroville Hospital,106040937,Independent/Other,IMI,Heart Failure,4,475,0.8,Better,39.50485,-121.542
2017,Butte,Oroville Hospital,106040937,Independent/Other,IMI,AMI,1,32,1.8,As Expected,39.50485,-121.542
2017,Butte,Oroville Hospital,106040937,Independent/Other,IMI,Hip Fracture,2,73,1.3,As Expected,39.50485,-121.542
2017,Butte,Oroville Hospital,106040937,Independent/Other,IMI,Acute Stroke Subarachnoid,,,,,39.50485,-121.542
2017,Butte,Oroville Hospital,106040937,Independent/Other,IMI,Acute Stroke,7,171,5.1,As Expected,39.50485,-121.542
2017,Butte,Oroville Hospital,106040937,Independent/Other,IMI,GI Hemorrhage,3,186,1.4,As Expected,39.50485,-121.542
